height,weight,games_year
168,62,2012
180,59,1988
178,85,2002
178,61,1988
179,68,2002
160,57,2008
173,74,2008
180,79,2004
0,0,1984
168,67,2012
168,67,2016
0,0,1992
0,0,1996
180,76,1996
172,72,2012
178,69,2000
178,69,2004
165,54,1996
172,63,2004
172,63,2008
157,52,2004
182,75,2000
170,59,1988
150,64,2008
190,80,1968
182,77,1964
182,77,1968
0,85,2004
178,68,2016
170,58,2004
148,46,1960
148,46,1964
170,67,2016
183,68,2012
180,70,2016
177,72,1996
163,65,1984
163,51,2004
161,60,2004
189,81,1976
189,81,1980
170,62,1980
168,56,2008
168,56,2012
181,77,2004
185,80,1988
175,56,2008
175,56,2012
0,0,1948
0,0,1952
175,67,1972
175,67,1976
150,40,2008
194,125,1972
194,125,1976
194,104,2012
0,0,1996
0,0,1948
0,0,1948
170,62,1994
170,62,1998
176,82,1988
176,82,1992
176,82,1994
176,82,1998
176,82,2002
0,0,1908
0,0,1948
190,95,2000
0,0,2012
0,0,1920
0,0,1992
167,58,1960
0,0,1928
190,74,1972
160,55,1988
0,0,1968
176,67,1992
0,67,1992
171,70,1972
175,65,1968
175,65,1972
182,68,2016
179,65,2008
166,70,2016
170,61,2016
158,52,1984
165,64,1984
178,73,1968
178,73,1972
165,68,1976
175,64,2016
0,0,1992
169,60,2016
178,78,1960
164,50,2012
186,85,2004
186,85,2008
186,85,2016
208,110,2012
0,0,1948
180,68,2000
161,62,1964
163,54,2016
181,73,1992
176,75,1984
168,60,2010
167,52,1984
165,54,1988
174,57,1988
174,57,1992
174,57,1996
188,75,2000
188,75,2008
0,0,1924
182,98,1984
183,87,2014
168,63,1964
168,63,1968
167,52,2012
168,55,1996
168,55,2000
190,86,2012
190,86,2016
191,110,1984
191,110,1988
176,45,2012
177,82,1976
184,84,2008
184,84,2012
0,0,1980
171,62,1956
171,62,1960
172,72,2012
172,72,2016
159,55,1988
0,0,1956
166,61,1964
167,55,1988
179,78,1988
0,0,1920
179,68,1976
0,0,1920
173,74,2004
191,75,1996
184,69,1998
184,69,2002
184,69,2006
180,70,1968
0,0,1932
190,99,1988
190,99,1992
190,99,1994
200,104,1994
200,104,1998
200,104,2002
180,83,2000
0,0,1992
0,0,1996
169,52,1972
175,74,2016
0,0,1936
180,81,1960
180,81,1964
173,73,1968
173,73,1972
0,0,1936
160,62,2016
168,72,2008
185,61,1984
180,73,1968
164,63,2008
164,63,2012
0,0,2016
172,69,2016
0,0,1952
188,91,2008
188,78,1980
190,62,2008
182,70,2016
0,0,1948
0,0,1952
0,0,1952
184,70,2008
188,82,1964
177,82,1968
177,82,1972
178,72,1964
0,0,1936
0,0,1948
0,0,1952
0,0,1960
168,63,2006
168,63,2010
188,66,1996
188,66,2000
188,66,2004
188,66,2008
188,66,2012
192,89,2008
192,89,2012
173,50,1972
0,0,1948
0,0,1996
208,109,2016
177,75,2016
0,0,1924
162,60,1980
156,56,1932
156,56,1936
179,60,1936
162,51,2012
165,58,2004
172,67,2016
168,67,1992
160,0,2012
156,51,2014
187,81,1984
186,100,2000
186,100,2004
189,105,2004
162,60,2008
202,105,2016
190,80,2008
0,0,1936
180,71,1988
178,79,2012
0,0,1992
187,83,1976
187,83,1980
172,70,1992
162,54,2016
182,82,1992
182,82,2002
183,85,1972
