event_name,region_name,medalist_count
"Athletics Women's 4 x 100 metres Relay","Soviet Union",17
"Cricket Men's Cricket",UK,17
"Athletics Women's 100 metres",USA,17
"Fencing Men's epee, Team","West Germany",17
"Handball Men's Handball",Switzerland,17
"Gymnastics Women's Team All-Around",China,17
"Gymnastics Women's Floor Exercise","Soviet Union",17
"Football Men's Football",Paraguay,17
"Gymnastics Men's Team All-Around",Ukraine,17
"Football Men's Football",Chile,17
"Gymnastics Men's Team All-Around",Denmark,17
"Canoeing Men's Canadian Doubles, 1,000 metres",Romania,17
"Equestrianism Mixed Three-Day Event, Team","New Zealand",17
"Curling Women's Curling",Sweden,17
"Cycling Men's Road Race, Team",Belgium,17
"Athletics Women's 4 x 100 metres Relay","East Germany",16
"Cycling Men's Team Sprint",France,16
"Alpine Skiing Men's Slalom",Austria,16
"Alpine Skiing Women's Downhill",Austria,16
"Hockey Women's Hockey",USA,16
"Hockey Women's Hockey","Soviet Union",16
"Hockey Women's Hockey",Czechoslovakia,16
"Hockey Women's Hockey",China,16
"Hockey Men's Hockey","Soviet Union",16
"Hockey Men's Hockey","South Korea",16
"Canoeing Men's Kayak Fours, 1,000 metres","Soviet Union",16
"Handball Women's Handball",France,16
"Fencing Men's epee, Team",Switzerland,16
"Athletics Men's Hammer Throw","Soviet Union",16
"Handball Men's Handball",Czechoslovakia,16
"Athletics Men's 3,000 metres, Team",UK,16
"Athletics Men's 3,000 metres, Team",USA,16
"Equestrianism Men's Three-Day Event, Team",Sweden,16
"Canoeing Men's Kayak Fours, 1,000 metres",Romania,16
"Athletics Men's 4 x 100 metres Relay",Jamaica,16
"Athletics Men's 4 x 400 metres Relay",France,16
"Football Men's Football",Mexico,16
"Football Men's Football",Japan,16
"Bobsleigh Men's Four",Italy,16
"Figure Skating Mixed Pairs",Germany,16
"Cross Country Skiing Women's 4 x 5 kilometres Relay",Germany,16
"Cross Country Skiing Women's 4 x 5 kilometres Relay",Italy,16
"Cycling Men's 100 kilometres Team Time Trial","Soviet Union",16
"Canoeing Men's Kayak Doubles, 1,000 metres",Germany,16
"Athletics Men's 1,500 metres",USA,16
"Canoeing Men's Canadian Doubles, 1,000 metres","Soviet Union",16
"Sailing Mixed 8 metres",Sweden,16
"Synchronized Swimming Women's Team",Spain,16
"Sailing Mixed Three Person Keelboat","East Germany",16
"Swimming Women's 100 metres Butterfly",USA,16
"Swimming Men's 4 x 200 metres Freestyle Relay",Hungary,16
"Luge Mixed (Men)'s Doubles",Austria,16
"Swimming Men's 200 metres Individual Medley",USA,16
"Luge Women's Singles",Germany,16
"Swimming Men's 100 metres Butterfly",USA,16
"Swimming Men's 1,500 metres Freestyle",USA,16
"Ski Jumping Men's Large Hill, Team",Finland,16
"Rowing Men's Coxless Fours",Canada,16
"Rowing Men's Coxless Fours",France,16
"Rowing Men's Coxless Pairs",USA,16
"Rowing Men's Quadruple Sculls",Australia,16
"Rowing Men's Quadruple Sculls",Italy,16
"Speed Skating Men's 500 metres",USA,16
"Rugby Men's Rugby",Australasia,16
"Sailing Mixed 12 metres",UK,16
"Sailing Mixed 6 metres",USA,15
"Tennis Men's Doubles",UK,15
"Swimming Women's 800 metres Freestyle",USA,15
"Sailing Mixed Three Person Keelboat",Germany,15
"Swimming Women's 4 x 100 metres Medley Relay","West Germany",15
"Swimming Women's 4 x 100 metres Medley Relay",Canada,15
"Luge Men's Singles",Germany,15
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",France,15
"Softball Women's Softball",China,15
"Rowing Men's Coxed Fours","New Zealand",15
"Rowing Men's Double Sculls","Soviet Union",15
"Rowing Men's Double Sculls",USA,15
"Rowing Women's Coxed Fours","East Germany",15
"Athletics Men's 10,000 metres",Finland,15
"Hockey Women's Hockey",Spain,15
"Handball Women's Handball",Ukraine,15
"Handball Women's Handball",Spain,15
"Handball Men's Handball","West Germany",15
"Football Women's Football",China,15
"Gymnastics Women's Horse Vault","Soviet Union",15
"Gymnastics Women's Balance Beam","Soviet Union",15
"Athletics Men's 4 x 400 metres Relay","West Germany",15
"Gymnastics Men's Rings","Soviet Union",15
"Gymnastics Men's Parallel Bars",Japan,15
"Gymnastics Men's Individual All-Around","Soviet Union",15
"Gymnastics Men's Individual All-Around",Japan,15
"Fencing Men's epee, Individual",Italy,15
"Equestrianism Men's Jumping, Team",Sweden,15
"Figure Skating Men's Singles",USA,15
"Biathlon Men's 4 x 7.5 kilometres Relay","East Germany",15
"Cross Country Skiing Women's 10 kilometres","Soviet Union",15
"Cross Country Skiing Women's 3 x 5 kilometres Relay","Soviet Union",15
"Fencing Women's Foil, Team",France,15
"Cross Country Skiing Women's 4 x 5 kilometres Relay","Soviet Union",15
"Fencing Women's epee, Team",Russia,15
"Canoeing Men's Canadian Doubles, 1,000 metres",Hungary,14
"Diving Women's Springboard",China,14
"Badminton Mixed Doubles",China,14
"Fencing Men's Sabre, Team",Romania,14
"Athletics Men's 10,000 metres",Ethiopia,14
"Canoeing Men's Kayak Doubles, 1,000 metres",Sweden,14
"Figure Skating Mixed Pairs",Canada,14
"Canoeing Men's Kayak Doubles, 1,000 metres",Hungary,14
"Curling Men's Curling",Switzerland,14
"Boxing Men's Lightweight",USA,14
"Football Men's Football",Belgium,14
"Archery Men's Team",USA,14
"Figure Skating Mixed Ice Dancing","Unified Team",14
"Gymnastics Men's Horizontal Bar",Japan,14
"Curling Men's Curling",Norway,14
"Badminton Men's Doubles","South Korea",14
"Canoeing Women's Kayak Doubles, 500 metres","East Germany",14
"Basketball Men's Basketball","Serbia and Montenegro",14
"Football Men's Football",Switzerland,14
"Beach Volleyball Women's Beach Volleyball",Brazil,14
"Athletics Men's 1,500 metres",UK,14
"Fencing Men's epee, Team",Poland,14
"Bobsleigh Men's Two","East Germany",14
"Bobsleigh Men's Two",Italy,14
"Football Men's Football",Norway,14
"Gymnastics Women's Team Portable Apparatus",Hungary,14
"Gymnastics Women's Team Portable Apparatus","Soviet Union",14
"Athletics Men's 4 x 400 metres Relay",Nigeria,14
"Gymnastics Women's Team Portable Apparatus",Sweden,14
"Handball Men's Handball",Denmark,14
"Handball Men's Handball","East Germany",14
"Handball Men's Handball",Iceland,14
"Handball Men's Handball",Poland,14
"Handball Women's Handball",Montenegro,14
"Hockey Men's Hockey","New Zealand",14
"Hockey Women's Hockey",Zimbabwe,14
"Sailing Mixed 8 metres",UK,14
"Table Tennis Men's Singles",China,14
"Table Tennis Men's Doubles",China,14
"Synchronized Swimming Women's Duet",Japan,14
"Swimming Women's 4 x 100 metres Freestyle Relay",Canada,14
"Swimming Men's 4 x 200 metres Freestyle Relay",Sweden,14
"Swimming Men's 4 x 100 metres Freestyle Relay",Russia,14
"Luge Mixed (Men)'s Doubles",Italy,14
"Swimming Men's 200 metres Breaststroke",USA,14
"Speed Skating Men's 1,500 metres",Netherlands,14
"Nordic Combined Men's Team",Norway,14
