region_name,sport_name,games_year,season,total_medals
Armenia,Wrestling,2012,Summer,2
Armenia,Weightlifting,2016,Summer,2
Armenia,Wrestling,2004,Summer,2
Armenia,Wrestling,1996,Summer,2
Armenia,Weightlifting,1992,Summer,1
Armenia,Boxing,2008,Summer,1
Armenia,Weightlifting,2000,Summer,1
Armenia,Weightlifting,1988,Summer,1
Armenia,Weightlifting,2012,Summer,1
Armenia,Shooting,1992,Summer,1
Armenia,Wrestling,2000,Summer,1
Australasia,Rugby,1908,Summer,15
Australasia,Swimming,1912,Summer,9
Australasia,Swimming,1924,Summer,2
Australasia,Swimming,1908,Summer,2
Australasia,Swimming,1920,Summer,2
Australasia,Boxing,1908,Summer,1
Australasia,Rugby,1920,Summer,1
Australasia,Swimming,1906,Summer,1
Australasia,Athletics,1908,Summer,1
Australasia,Tennis,1912,Summer,1
Australia,Swimming,2008,Summer,54
Australia,Swimming,2000,Summer,46
Australia,Swimming,1960,Summer,34
Australia,Hockey,1996,Summer,32
Australia,Swimming,2012,Summer,32
Australia,Hockey,2000,Summer,32
Australia,Swimming,2016,Summer,32
Australia,Swimming,2004,Summer,31
Australia,Swimming,1996,Summer,25
Australia,Baseball,2004,Summer,24
Australia,Swimming,1956,Summer,23
Australia,Rowing,2000,Summer,21
Australia,Swimming,1984,Summer,20
Australia,Swimming,1964,Summer,20
Australia,Athletics,1956,Summer,19
Australia,Rowing,2004,Summer,19
Australia,Rowing,1984,Summer,18
Australia,Swimming,1968,Summer,18
Australia,Hockey,2008,Summer,17
Australia,Cycling,2004,Summer,17
Australia,Hockey,2012,Summer,16
Australia,Hockey,1992,Summer,16
Australia,Hockey,1988,Summer,16
Australia,Hockey,2004,Summer,16
Australia,Rowing,1996,Summer,16
Australia,Softball,2008,Summer,15
Australia,Softball,1996,Summer,15
Australia,Hockey,1976,Summer,15
Australia,Softball,2000,Summer,15
Australia,Softball,2004,Summer,15
Australia,"Water Polo",2012,Summer,14
Australia,Hockey,1964,Summer,14
Australia,Hockey,1968,Summer,14
Australia,Rowing,2012,Summer,13
Australia,"Water Polo",2008,Summer,13
Australia,"Water Polo",2000,Summer,13
Australia,Basketball,2008,Summer,12
Australia,Basketball,1996,Summer,12
Australia,Basketball,2000,Summer,12
Australia,Basketball,2012,Summer,12
Australia,"Rugby Sevens",2016,Summer,12
Australia,Basketball,2004,Summer,12
Australia,Rowing,1956,Summer,12
Australia,Swimming,1980,Summer,11
Australia,Cycling,2012,Summer,10
Australia,Swimming,1972,Summer,10
Australia,Rowing,1952,Summer,10
Australia,Athletics,1948,Summer,9
Australia,Cycling,2000,Summer,9
Australia,Rowing,2016,Summer,9
Australia,Diving,2004,Summer,9
Australia,Cycling,1996,Summer,9
Australia,Swimming,1992,Summer,9
Australia,Rowing,1968,Summer,9
Australia,Cycling,1988,Summer,8
Australia,Swimming,1924,Summer,8
Australia,Sailing,2012,Summer,8
Australia,Rowing,2008,Summer,8
Australia,Cycling,1992,Summer,8
Australia,Canoeing,2008,Summer,8
Australia,Canoeing,1992,Summer,8
Australia,Sailing,2016,Summer,7
Australia,Sailing,2000,Summer,7
Australia,Sailing,2008,Summer,6
Australia,Athletics,1964,Summer,6
Australia,Cycling,2016,Summer,6
Australia,Equestrianism,1960,Summer,6
Australia,Athletics,1968,Summer,6
Australia,Rowing,1992,Summer,6
Australia,Athletics,2004,Summer,6
Australia,Equestrianism,2008,Summer,5
Australia,Equestrianism,1992,Summer,5
Australia,Equestrianism,2000,Summer,5
Australia,Equestrianism,2016,Summer,5
Australia,Sailing,1972,Summer,5
Australia,Canoeing,1988,Summer,5
Australia,Canoeing,1996,Summer,5
Australia,Swimming,1920,Summer,5
Australia,Canoeing,2012,Summer,5
Australia,Sailing,1996,Summer,4
Australia,Equestrianism,1968,Summer,4
Australia,Cycling,1952,Summer,4
Australia,Sailing,1956,Summer,4
Australia,Equestrianism,1976,Summer,4
Australia,"Short Track Speed Skating",1994,Winter,4
Australia,Swimming,1948,Summer,4
Australia,Athletics,1900,Summer,4
Australia,Athletics,2008,Summer,4
Australia,Swimming,1904,Summer,4
Australia,Athletics,1952,Summer,4
Australia,Athletics,1960,Summer,4
Australia,Shooting,2000,Summer,4
Australia,Diving,2000,Summer,4
Australia,Equestrianism,1996,Summer,4
Australia,Cycling,1984,Summer,4
Australia,Athletics,2000,Summer,3
Australia,Canoeing,2016,Summer,3
Australia,Shooting,1996,Summer,3
Australia,Athletics,2012,Summer,3
Australia,Athletics,1984,Summer,3
Australia,Sailing,1992,Summer,3
